Style Number,Color Code,Size,Alt Size
13878,035,11,D
13878,035,11.5,D
13878,035,12,D
13878,035,13,D
13878,035,14,D
13878,035,15,D
13878,035,16,D
13878,035,7,EE
13878,035,7.5,EE
13878,035,8,EE
13878,035,8.5,EE
13878,035,9,EE
13878,035,9.5,EE
13878,035,10,EE
13878,035,10.5,EE
13878,035,11,EE
13878,035,11.5,EE
13878,035,12,EE
13878,035,13,EE
13878,035,14,EE
13878,035,15,EE
13879,215,7,D
13879,215,7.5,D
13879,215,8,D
13879,215,8.5,D
13879,215,9,D
13879,215,9.5,D
13879,215,10,D
13879,215,10.5,D
13879,215,11,D
13879,215,11.5,D
13879,215,12,D
13879,215,13,D
13879,215,14,D
13879,215,15,D
13879,215,16,D
13879,215,8,EE
13879,215,8.5,EE
13879,215,9,EE
13879,215,9.5,EE
13879,215,10,EE
13879,215,10.5,EE
13879,215,11,EE
13879,215,11.5,EE
13879,215,12,EE
13879,215,13,EE
13879,215,14,EE
13879,215,15,EE
13880,215,7,D
13880,215,7.5,D
13880,215,8,D
13880,215,8.5,D
13880,215,9,D
13880,215,9.5,D
13880,215,10,D
13880,215,10.5,D
13880,215,11,D
13880,215,11.5,D
13880,215,12,D
13880,215,13,D
13880,215,14,D
13880,215,15,D
13880,215,16,D
13880,215,8,EE
13880,215,8.5,EE
13880,215,9,EE
13880,215,9.5,EE
13880,215,10,EE
13880,215,10.5,EE
13880,215,11,EE
13880,215,11.5,EE
13880,215,12,EE
13880,215,13,EE
13880,215,14,EE
13880,215,15,EE
13881,215,7,D
13881,215,7.5,D
13881,215,8,D
13881,215,8.5,D
13881,215,9,D
13881,215,9.5,D
13881,215,10,D
13881,215,10.5,D
13881,215,11,D
13881,215,11.5,D
13881,215,12,D
13881,215,13,D
13881,215,14,D
13881,215,15,D
13881,215,16,D
13881,215,8,EE
13881,215,8.5,EE
13881,215,9,EE
13881,215,9.5,EE
13881,215,10,EE
13881,215,10.5,EE
13881,215,11,EE
13881,215,11.5,EE
13881,215,12,EE
13881,215,13,EE
13881,215,14,EE
13881,215,15,EE
13882,215,7,D
13882,215,7.5,D
13882,215,8,D
13882,215,8.5,D
13882,215,9,D
13882,215,9.5,D
13882,215,10,D
13882,215,10.5,D
13882,215,11,D
13882,215,11.5,D
13882,215,12,D
13882,215,13,D
13882,215,14,D
13882,215,15,D
13882,215,16,D
13882,215,8,EE
13882,215,8.5,EE
13882,215,9,EE
13882,215,9.5,EE
13882,215,10,EE
13882,215,10.5,EE
13882,215,11,EE
13882,215,11.5,EE
13882,215,12,EE
13882,215,13,EE
13882,215,14,EE
13882,215,15,EE
13883,215,5,M
13883,215,5.5,M
13883,215,6,M
13883,215,6.5,M
13883,215,7,M
13883,215,7.5,M
13883,215,8,M
13883,215,8.5,M
13883,215,9,M
13883,215,9.5,M
13883,215,10,M
13883,215,11,M
13884,215,5,M
13884,215,5.5,M
13884,215,6,M
13884,215,6.5,M
13884,215,7,M
13884,215,7.5,M
13884,215,8,M
13884,215,8.5,M
13884,215,9,M
13884,215,9.5,M
13884,215,10,M
13884,215,11,M
13885,215,7,D
13885,215,7.5,D
13885,215,8,D
13885,215,8.5,D
13885,215,9,D
13885,215,9.5,D
13885,215,10,D
13885,215,10.5,D
13885,215,11,D
13885,215,11.5,D
13885,215,12,D
13885,215,13,D
13885,215,14,D
13885,215,15,D
13885,215,16,D
